id,cart_id,product_id,quantity,price,created_at,updated_at
1,13,39,5,38.39,2024-09-30,2024-09-30
2,12,8,3,15.44,2024-09-30,2024-09-30
3,14,50,5,19.31,2024-09-30,2024-09-30
4,10,4,2,22.95,2024-09-30,2024-09-30
5,9,36,4,36.35,2024-09-30,2024-09-30
6,4,8,3,44.23,2024-09-30,2024-09-30
7,5,29,1,21.37,2024-09-30,2024-09-30
8,12,43,4,43.56,2024-09-30,2024-09-30
9,4,27,5,42.80,2024-09-30,2024-09-30
10,14,5,4,13.47,2024-09-30,2024-09-30
11,3,45,1,31.39,2024-09-30,2024-09-30
12,2,20,3,38.87,2024-09-30,2024-09-30
13,12,3,1,10.36,2024-09-30,2024-09-30
14,12,30,4,32.54,2024-09-30,2024-09-30
15,15,9,3,35.88,2024-09-30,2024-09-30
16,14,50,2,15.12,2024-09-30,2024-09-30
17,7,29,2,44.67,2024-09-30,2024-09-30
18,13,36,4,16.50,2024-09-30,2024-09-30
19,15,6,2,42.17,2024-09-30,2024-09-30
20,2,48,2,13.70,2024-09-30,2024-09-30
21,14,7,4,31.19,2024-09-30,2024-09-30
22,12,4,3,35.65,2024-09-30,2024-09-30
23,7,20,5,21.47,2024-09-30,2024-09-30
24,8,25,5,16.58,2024-09-30,2024-09-30
25,1,37,4,47.95,2024-09-30,2024-09-30
26,7,47,5,10.28,2024-09-30,2024-09-30
27,14,27,1,26.40,2024-09-30,2024-09-30
28,14,14,2,46.05,2024-09-30,2024-09-30
29,3,4,5,20.76,2024-09-30,2024-09-30
30,10,34,1,48.18,2024-09-30,2024-09-30
